1,2,3,4,5,6,7,8,9,10
1.3994,0,1.1667,0,1.0817,0,0,0,0,0
1.4988,0,1.1578,0,0.99674,0,0,0,0,0
1.4463,0,1.2022,0,0.99851,0,0,0,0,0
1.2078,0,1.0822,0,0.91662,0,0,0,0,0
1.337,0,1.0322,0,0.98961,0,0,0,0,0
1.3223,0,1.0252,0,0.90213,0,0,0,0,0
1.3859,0,0.98996,0,1.0213,0,0,0,0,0
1.1592,0,0.85579,0,0.8787,0,0,0,0,0
1.5032,0,0.86195,0,0.86474,0,0,0,0,0
1.215,0,0.94944,0,1.0352,0,0,0,0,0
1.3477,0,0.91765,0,1.0075,0,0,0,0,0
1.0588,0,1.1092,0,0.97968,0,0,0,0,0
1.3651,0,0.96933,0,0.82059,0,0,0,0,0
1.3109,0,0.97217,0,0.91834,0,0,0,0,0
1.2541,0,0.96913,0,0.96003,0,0,0,0,0
1.3502,0,0.95132,0,0.96617,0,0,0,0,0
1.2343,0,1.144,0,0.94459,0,0,0,0,0
1.2547,0,0.94797,0,0.94436,0,0,0,0,0
1.1396,0,1.0463,0,0.92289,0,0,0,0,0
1.264,0,1.0473,0,0.88143,0,0,0,0,0
1.1996,0,0.95679,0,0.9359,0,0,0,0,0
1.3788,0,1.1674,0,0.95482,0,0,0,0,0
1.1157,0,0.98457,0,0.8567,0,0,0,0,0
1.4111,0,1.0254,0,0.82931,0,0,0,0,0
1.4488,0,0.85551,0,0.87494,0,0,0,0,0
1.1917,0,0.96532,0,0.99583,0,0,0,0,0
1.2324,0,1.0352,0,0.79446,0,0,0,0,0
1.0113,0,0.98035,0,0.89693,0,0,0,0,0
0.82105,0,1.1843,0,1.4817,0,0,0,0,0
0.90302,0,1.1326,0,1.4504,0,0,0,0,0
0.87555,0,1.1301,0,1.3351,0,0,0,0,0
0.82969,0,1.2731,0,1.2967,0,0,0,0,0
0.80107,0,1.329,0,1.2589,0,0,0,0,0
0.80242,0,1.1147,0,1.4341,0,0,0,0,0
0.90431,0,1.0918,0,1.1901,0,0,0,0,0
0.84768,0,1.1094,0,1.1713,0,0,0,0,0
0.83382,0,1.1692,0,1.3732,0,0,0,0,0
0.8611,0,1.1824,0,1.3049,0,0,0,0,0
0.89051,0,1.254,0,1.4109,0,0,0,0,0
0.90046,0,1.3117,0,1.4349,0,0,0,0,0
